grid_id,1st_bus_stop,1st_stop_id,1st_dist_m,2nd_bus_stop,2nd_stop_id,2nd_dist_m,3rd_bus_stop,3rd_stop_id,3rd_dist_m,tmap_success,walk_time_min,walk_dist_m
마마1486, 화남3리(삼산방면),571015.0,548.9, 화남3리(신녕방면),571046.0,548.9, 성덕대학교방면,571044.0,557.9,N_PathError,,
마마1384, 부산1리(신녕방면),571070.0,884.8, 부산1리.이곡(신녕방면),571071.0,884.8, 부산1리.이곡(치산방면),571051.0,917.9,N_PathError,,
마마1285, 부산1리(치산방향),571052.0,235.7, 칠밭골,571072.0,235.7, 부산1리.이곡(치산방면),571051.0,538.6,N_PathError,,
마마1185, 부산2리.새터(신녕방면),571069.0,270.8, 부산2리.새터(치산방면),571053.0,275.8, 신녕요양병원,571057.0,777.4,N_PathError,,
마마1385, 부산1리(신녕방면),571070.0,379.5, 부산1리.이곡(신녕방면),571071.0,379.5, 부산1리.이곡(치산방면),571051.0,573.7,N_PathError,,
마마1286, 부산2리.경로당건너,571054.0,1074.6, 부산2리.경로당앞,571055.0,1093.8, 화남1리(신녕방면),571042.0,1143.5,N_PathError,,
마마1386, 화남2리(삼산방면),571018.0,255.4, 성덕대학교건너,571017.0,426.9, 화남1리(신녕방면),571042.0,580.1,N_PathError,,
마마1186, 부산2리.경로당건너,571054.0,94.6, 부산2리.경로당앞,571055.0,121.2, 부산2리.새터(치산방면),571053.0,728.3,N_PathError,,
마마1387, 권응수장군유적지,571041.0,76.9, 화남1리(신녕방면),571042.0,420.3, 화남2리(삼산방면),571018.0,811.1,N_PathError,,
마마1187, 도근지,571037.0,297.2, 도근지건너,571038.0,561.5, 부산2리.경로당건너,571054.0,1062.8,N_PathError,,
마마1087, 도근지건너,571038.0,324.2, 도근지,571037.0,501.6, 치산2리.느티나무(신녕방향),571067.0,1107.4,N_PathError,,
마마1088, 도근리입구,571036.0,169.5, 도근리입구건너,571021.0,186.1, 도근리입구(신녕방면),571039.0,258.0,N_PathError,,
마마1089, 화서리(신녕방면),571035.0,308.2, 화서리(삼산방면),571022.0,326.8, 도근리입구,571036.0,518.2,N_PathError,,
마마1488, 권응수장군유적지,571041.0,1456.2, 화남1리(신녕방면),571042.0,1745.2, 화남2리(삼산방면),571018.0,1985.6,N_PathError,,
마마1489, 권응수장군유적지,571041.0,2110.1, 화남1리(신녕방면),571042.0,2437.8, 화남2리(삼산방면),571018.0,2735.2,N_PathError,,
마마1188, 둔지건너,571020.0,284.8, 둔지,571040.0,309.2, 도근리입구(신녕방면),571039.0,583.3,N_PathError,,
마마1288, 둔지,571040.0,772.7, 둔지건너,571020.0,811.2, 권응수장군유적지,571041.0,1479.7,N_PathError,,
마마1290, 둔지,571040.0,1748.8, 둔지건너,571020.0,1753.4, 도근리입구(신녕방면),571039.0,2262.0,N_PathError,,
마마1390, 둔지,571040.0,2513.4, 둔지건너,571020.0,2541.5, 권응수장군유적지,571041.0,2614.3,N_PathError,,
