격자코드,경도,위도,총인구수,최종_선정_의료기관,최종_이동시간_분,최종_주행거리_km,API_검증상태
마마2267,128.8573715,35.89645722,1744,경북연합의원,14.17,9.96,완료 (시간순 역전: 후보3 선정)
마마2367,128.8684493,35.89633148,8,경북연합의원,13.93,5.91,완료 (시간순 역전: 후보3 선정)
마마4773,129.1354066,35.94708176,8,파계보건진료소,13.85,10.81,완료 (유클리드 1위 일치)
마마3061,128.9450093,35.84134315,18,운천보건진료소,13.77,6.59,완료 (유클리드 1위 일치)
마마2383,128.8709406,36.04054601,28,화남보건지소,13.62,11.92,완료 (시간순 역전: 후보2 선정)
마마3186,128.9602208,36.06653664,63,평천보건진료소,13.55,5.65,완료 (유클리드 1위 일치)
마마3173,128.9580613,35.94936764,8,다산한의원,13.52,6.25,완료 (유클리드 1위 일치)
마마4186,129.071228,36.06513267,38,자양보건지소,13.5,9.21,완료 (시간순 역전: 후보2 선정)
마마0885,128.7047397,36.06036191,58,부산보건진료소,13.48,5.81,완료 (유클리드 1위 일치)
마마3062,128.9451728,35.85035645,23,운천보건진료소,13.47,6.51,완료 (유클리드 1위 일치)
마마1380,128.7595279,36.01472265,33,현대연합의원,13.47,5.28,완료 (유클리드 1위 일치)
마마3189,128.960721,36.0935753,8,화북보건지소,13.43,8.41,완료 (유클리드 1위 일치)
마마2086,128.8381044,36.06796232,5,화남보건지소,13.42,6.82,완료 (시간순 역전: 후보2 선정)
마마2579,128.8925016,36.00423718,33,우천보건진료소,13.4,6.38,완료 (유클리드 1위 일치)
마마3170,128.9575647,35.9223283,157,의료법인동승의료재단 동승병원,13.34,10.17,복구완료 (시간이상치 -> 주변평균 대체)
마마3664,129.0119396,35.86756506,5,명주보건진료소,13.27,5.71,완료 (유클리드 1위 일치)
마마2761,128.9117998,35.84173796,28,운천보건진료소,13.23,5.71,완료 (유클리드 1위 일치)
마마2292,128.8612405,36.12179187,8,안천보건진료소,13.2,6.92,완료 (유클리드 1위 일치)
마마2884,128.9265918,36.04891169,5,화남보건지소,13.05,5.38,완료 (유클리드 1위 일치)
마마2667,128.9016821,35.89594815,38,대창보건지소,13.05,5.91,완료 (시간순 역전: 후보2 선정)
마마3361,128.9782181,35.84093916,5,명주보건진료소,13.03,4.59,완료 (유클리드 1위 일치)
마마1481,128.7707674,36.0236193,5,신령의원,13,3.93,완료 (시간순 역전: 후보3 선정)
마마3370,128.9797264,35.92205715,83,북안보건지소,12.98,6.43,완료 (유클리드 1위 일치)
마마1580,128.7817173,36.01448754,13,현대연합의원,12.97,4.81,완료 (유클리드 1위 일치)
마마3070,128.9464838,35.92246234,58,의료법인동승의료재단 동승병원,12.89,12.66,복구완료 (시간이상치 -> 주변평균 대체)
마마2482,128.881881,36.03140533,43,화남보건지소,12.82,10.51,완료 (시간순 역전: 후보3 선정)
마마3969,129.0460343,35.91220641,8,북안동산의원,12.8,5.78,완료 (유클리드 1위 일치)
마마2785,128.9156544,36.05805637,18,화남보건지소,12.72,5.3,완료 (유클리드 1위 일치)
마마3089,128.949616,36.09371018,63,화북보건지소,12.65,7.88,완료 (유클리드 1위 일치)
마마2176,128.8476703,35.97770379,28,우천보건진료소,12.63,5,완료 (유클리드 1위 일치)
마마1382,128.7598149,36.03275009,5,신령의원,12.6,3.8,복구완료 (인접도로 매핑 / 시간역전: 후보3)
